record_type,record_id,task_id,lane_id,seed,source_id,state,sha256,details
experiment,E6171_SINGLE_MODE_CPD_CI_EQUIVALENCE,T6.17.1,single_mode_decoder,,NOH2022_SURFACE_GKP;LIN2023_CPD,PROJECT_NATIVE_MATCHED,59f0cbcbc3a1dfbc8721dbf9f08dec9f51e330f5baad50771bc3da46afd06e45,T6.16.2 ontology PASS and ideal-decoder conventions live
seed,E6171_SINGLE_MODE_CPD_CI_EQUIVALENCE:61710001,T6.17.1,single_mode_decoder,61710001,,deterministic_plus_rng,,phase6c-secondary-v1
experiment,E6172_NOH_CNOT_CI_ML_REPRODUCTION,T6.17.2,surface_gkp_gate_outer_code,,NOH2022_SURFACE_GKP,PROJECT_NATIVE_MATCHED_OR_BLOCKED,6c8e1f762c6fab524a8b9d4e234b885780c0643deef9e6f623281347a76edc90,paper circuit/noise/decoder specification passes source-sufficiency audit before simulation
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720001,T6.17.2,surface_gkp_gate_outer_code,61720001,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720002,T6.17.2,surface_gkp_gate_outer_code,61720002,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720003,T6.17.2,surface_gkp_gate_outer_code,61720003,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720004,T6.17.2,surface_gkp_gate_outer_code,61720004,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720005,T6.17.2,surface_gkp_gate_outer_code,61720005,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720006,T6.17.2,surface_gkp_gate_outer_code,61720006,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720007,T6.17.2,surface_gkp_gate_outer_code,61720007,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720008,T6.17.2,surface_gkp_gate_outer_code,61720008,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720009,T6.17.2,surface_gkp_gate_outer_code,61720009,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720010,T6.17.2,surface_gkp_gate_outer_code,61720010,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720011,T6.17.2,surface_gkp_gate_outer_code,61720011,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720012,T6.17.2,surface_gkp_gate_outer_code,61720012,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720013,T6.17.2,surface_gkp_gate_outer_code,61720013,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720014,T6.17.2,surface_gkp_gate_outer_code,61720014,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720015,T6.17.2,surface_gkp_gate_outer_code,61720015,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720016,T6.17.2,surface_gkp_gate_outer_code,61720016,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720017,T6.17.2,surface_gkp_gate_outer_code,61720017,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720018,T6.17.2,surface_gkp_gate_outer_code,61720018,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720019,T6.17.2,surface_gkp_gate_outer_code,61720019,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720020,T6.17.2,surface_gkp_gate_outer_code,61720020,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720021,T6.17.2,surface_gkp_gate_outer_code,61720021,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720022,T6.17.2,surface_gkp_gate_outer_code,61720022,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720023,T6.17.2,surface_gkp_gate_outer_code,61720023,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720024,T6.17.2,surface_gkp_gate_outer_code,61720024,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720025,T6.17.2,surface_gkp_gate_outer_code,61720025,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720026,T6.17.2,surface_gkp_gate_outer_code,61720026,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720027,T6.17.2,surface_gkp_gate_outer_code,61720027,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720028,T6.17.2,surface_gkp_gate_outer_code,61720028,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720029,T6.17.2,surface_gkp_gate_outer_code,61720029,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720030,T6.17.2,surface_gkp_gate_outer_code,61720030,,common_random_numbers,,phase6c-secondary-v1
seed,E6172_NOH_CNOT_CI_ML_REPRODUCTION:61720031,T6.17.2,surface_gkp_gate_outer_code,61720031,,common_random_numbers,,phase6c-secondary-v1
