row_type,sequence,split,trajectory_index,step,outcome,teacher_native,action_source,p_g,hidden_json,raw_residual_json,physical_residual_json,metric,value,detail_json
fixed_teacher_trace,all_g,fixed_native,,0,g,True,frozen_teacher_native,0.9360841386439266,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.10807417206060191, 0.009449422918579456, -0.024487097859286603, 0.062447413504258344, 0.043640428851983014, 0.02681818119170389, -0.001536942940952903, 0.02057098136041616, -0.02880012036850538, -0.012854290854074862, 0.009463855291328987, 0.05499836927558683, 0.04512958211724034, 0.011370273085064102, 0.008987970482977413]","[0.21531071782820765, 0.018898283354562225, -0.04896440946330351, 0.1247327299242505, 0.087225491460801, 0.05362350739228856, -0.0030738834615369032, 0.04113616041965228, -0.057584320571285215, -0.025707165834806138, 0.018927145518897542, 0.10988596577527772, 0.09019793779318165, 0.022739566231293112, 0.008987728463886955]",,,
fixed_teacher_trace,all_g,fixed_native,,1,g,True,frozen_teacher_native,0.9029523190621352,"[-0.10188481098542125, 0.10169242147604504, -0.14166957194638774, -0.18168370280525842, -0.11899235875945788, 0.15003134300393917, -0.004738846105899932, 0.11702417594129645, -0.1749775930287966, 0.11905912490076358]","[0.16967101936319184, 0.01465407086387292, -0.03278322122134186, 0.09222845495376837, 0.06969761985853676, 0.04161542964287488, 0.00621619858928581, 0.023233403418106487, -0.04385226658107082, -0.0282460493553088, 0.017202818757195, 0.07655324906046548, 0.07165287776451905, 0.015385605446717736, 0.006605120206147447]","[0.3361227497095304, 0.02930604401363218, -0.06554296358552578, 0.18393568105310526, 0.1391699613225649, 0.08318284492583855, 0.012432237047109284, 0.04645844785247451, -0.08764835714481671, -0.056477079631481686, 0.034402243949359715, 0.15280810913537893, 0.14306100778403513, 0.03076878310189286, 0.006605024152614428]",,,
fixed_teacher_trace,all_g,fixed_native,,2,g,True,frozen_teacher_native,0.808359103895811,"[-0.13814491278511046, 0.12764599280844052, -0.17754470495278435, -0.276627828098298, -0.15330104523686022, 0.24229147196618983, 0.04320573882080642, 0.17320409773790105, -0.27157274708973733, 0.17749407891437818]","[0.20722170579938973, 0.017750119718135872, -0.038312405513189055, 0.110158920352438, 0.08485370846120055, 0.05044448991055463, 0.010035220100138518, 0.026327897872525256, -0.053442134775221556, -0.036392073111420176, 0.0216241024378564, 0.0914306822473024, 0.08776702584702903, 0.018076517400518927, 0.005968722188357561]","[0.4086113819441009, 0.035496511591057836, -0.07658734202745915, 0.21943096060312284, 0.16930128019071322, 0.10080349123678807, 0.02006976649189059, 0.05264363285171829, -0.10678262963947432, -0.07275203187379187, 0.043241465156739683, 0.18235351514984546, 0.1750847202252479, 0.03614909752130496, 0.005968651309509213]",,,
fixed_teacher_trace,all_g,fixed_native,,3,g,True,frozen_teacher_native,0.8722606894749538,"[-0.14710260441765516, 0.14081446631561934, -0.18392051992291372, -0.32567538774873556, -0.16509850371628534, 0.3001717730602405, 0.09612891786269855, 0.19811732338390375, -0.32360899221975703, 0.20766391304237783]","[0.2310873807721099, 0.019671746975625917, -0.04205380718805943, 0.12157137016206952, 0.09419225171906434, 0.05594294979011673, 0.01200647855845483, 0.02896291021940532, -0.059703712163671666, -0.04099549232168349, 0.02424902469725004, 0.10169243595227047, 0.09795268117190196, 0.019918858172126352, 0.005968657900722709]","[0.4541198522178286, 0.03933841971935984, -0.08405806735077803, 0.24195192905738955, 0.18782934644370133, 0.11176932563180364, 0.024011803316607953, 0.05790962884364171, -0.1192657490817481, -0.08194508332019858, 0.04848854576642007, 0.20268666842402344, 0.19528120481097383, 0.039832448497406685, 0.00596858702416457]",,,
fixed_teacher_trace,all_g,fixed_native,,4,g,True,frozen_teacher_native,0.933460641289459,"[-0.14606248905360958, 0.15018231232916684, -0.18344926919190568, -0.35043412281924324, -0.17167212775393167, 0.3356438220919404, 0.13982828556700957, 0.20760415458763673, -0.35100748886129324, 0.22404706809403085]","[0.24617557046492886, 0.02086101129599177, -0.04451585920511327, 0.12882947317065133, 0.09998221134428972, 0.05935521777655453, 0.01304667299668678, 0.030912982625437586, -0.06373356898395498, -0.0436622859239262, 0.025818075170310043, 0.1085314700132245, 0.10435948182644042, 0.021145047106252503, 0.0061513294103704656]","[0.48264057778517405, 0.04171597142380144, -0.08897295474023723, 0.25624288851708066, 0.19930076529070823, 0.11857122444986155, 0.02609186559532335, 0.06180627888755589, -0.12729482879091117, -0.08726912241565818, 0.051624680310880265, 0.21621466929790037, 0.2079645374805279, 0.042283792522323733, 0.006151251825127267]",,,
fixed_teacher_trace,all_g,fixed_native,,5,g,True,frozen_teacher_native,0.9252899601289056,"[-0.14228081698207903, 0.15701018970915726, -0.18213448313229963, -0.3623556281185016, -0.17684794242843152, 0.3567294356928574, 0.17177781870730885, 0.20990952988439696, -0.3650793962634668, 0.23326146566184053]","[0.2555040267276264, 0.021582449917330857, -0.04607874922909805, 0.13334769122845927, 0.10351523321956481, 0.06142960002859616, 0.013595483724157954, 0.032242685089848455, -0.06625795005586138, -0.04520507894800339, 0.026745206722640306, 0.11291706909233191, 0.10830311913490913, 0.021931526394264426, 0.006348297955753637]","[0.5001710239332285, 0.043158198982198435, -0.09209232930156837, 0.2651257880053921, 0.2062941505846175, 0.1227048926517251, 0.027189292271609135, 0.06446303333684743, -0.1323223199849227, -0.09034862383278683, 0.053477663087398215, 0.22487919321176314, 0.21576329396913527, 0.043856021551010725, 0.006348212676448988]",,,
fixed_teacher_trace,all_g,fixed_native,,6,g,True,frozen_teacher_native,0.9285271514683938,"[-0.13850497632857356, 0.16170385248317012, -0.1812346447649339, -0.3676343423024829, -0.18115611243424296, 0.36886409615291027, 0.19352896443714776, 0.20923520098728055, -0.37209452651296215, 0.2385422127491609]","[0.26111313056744617, 0.02200867564377422, -0.047036004180607216, 0.13608270547514711, 0.1056187071982063, 0.06265717862772427, 0.0138802812142137, 0.03309946213123845, -0.06779235733244725, -0.04608390070176754, 0.027281848679980708, 0.11562848523576663, 0.11066515022310244, 0.02241794029589108, 0.006507341944438676]","[0.5106727723835874, 0.04401024559629027, -0.09400269517787957, 0.2704977310671195, 0.2104554304814356, 0.12515062290852993, 0.027758779762070408, 0.06617475957001194, -0.13537738887632644, -0.0921026103996561, 0.054550164149060214, 0.23023182148238672, 0.2204311772351376, 0.044828371134169924, 0.006507250093780133]",,,
fixed_teacher_trace,all_g,fixed_native,,7,g,True,frozen_teacher_native,0.9189025270067387,"[-0.1355610160252253, 0.16472436217302333, -0.18079353235976814, -0.36961829374537847, -0.1845739202024729, 0.37561043541009653, 0.207608346227419, 0.20761195800833984, -0.3754578170882228, 0.241579889918604]","[0.264383976130066, 0.022252949097236758, -0.047601943477459774, 0.13768779733674325, 0.10683500546201598, 0.06336170609095289, 0.014023479028855937, 0.03362722039869606, -0.0686960927391365, -0.04657231803462984, 0.027584293174666964, 0.11724703709552604, 0.11203753835375455, 0.022708288103385647, 0.006620884861569921]","[0.5167828423192097, 0.04449855330188275, -0.09513204314726444, 0.2736485065912883, 0.21286078213596088, 0.1265540983355793, 0.028045119649770075, 0.06722910204316596, -0.13717646774914768, -0.09307735146828663, 0.05515459813877942, 0.23342543033685298, 0.22314219962537052, 0.0454087712166697, 0.006620788118639876]",,,
fixed_teacher_trace,all_g,fixed_native,,8,g,True,frozen_teacher_native,0.9333065475277966,"[-0.1335208125890831, 0.16655277114693715, -0.18063842715648687, -0.3700802266459397, -0.1871244823781883, 0.379218615180947, 0.2163561934623799, 0.20593551561104037, -0.37698135284857504, 0.24331145243174554]","[0.2662276235559138, 0.02238811946580004, -0.04792444275460574, 0.13859818163456686, 0.10751500730952136, 0.0637521322106956, 0.014091936707837403, 0.03393947324093021, -0.06921069783325133, -0.04683492976445359, 0.02774923362643149, 0.11817940349292134, 0.11280831912201923, 0.022875435900634598, 0.006696206478074134]","[0.5202223083772791, 0.044768759397874947, -0.09577557248123882, 0.27543496578367077, 0.21420528297423447, 0.12733180480168446, 0.028182007954147114, 0.06785289550714593, -0.13820079993162385, -0.0936014309564377, 0.05548422666309078, 0.2352645613411798, 0.22466444042445644, 0.04574289321432321, 0.006696106395730643]",,,
fixed_teacher_trace,all_g,fixed_native,,9,g,True,frozen_teacher_native,0.9225690854132316,"[-0.1322105212350824, 0.1675967997918666, -0.1806236985574945, -0.3699227928198422, -0.1889265242986065, 0.38106059219147964, 0.22159422994355651, 0.20453685693888757, -0.37760949627918716, 0.2442789282459268]","[0.26722677942158574, 0.022459817504888825, -0.04810084275679939, 0.13909474061701468, 0.10788025007459214, 0.06395962775790716, 0.014122071953549958, 0.03411698869820347, -0.06949277926974799, -0.04697007134458385, 0.02783553188181175, 0.11869612643117407, 0.1132244231903104, 0.022967942412107364, 0.006743585036126711]","[0.5220849340075651, 0.04491208339567983, -0.09612756045348292, 0.2764091814672059, 0.21492736084384087, 0.12774510832731384, 0.028242266452874677, 0.06820751564032677, -0.1387622580441056, -0.09387112040625586, 0.055656689925965494, 0.23628364502784818, 0.225486108865856, 0.04592780906462386, 0.006743482814365267]",,,
