evaluation_seed,window_index,history_start_window,truth_regime,family,prediction,p_normal,p_burst,p_leakage,p_calibration_shift,deployable_trace_sha256,truth_trace_sha256
20261231,7,0,leakage,causal_tcn,leakage,0.049446726859286944,0.352207414522981,0.45632687700885094,0.14201898160888107,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,8,1,calibration_shift,causal_tcn,calibration_shift,0.08338465673047034,0.14588246754580692,0.027275748930932257,0.7434571267927905,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,9,2,calibration_shift,causal_tcn,calibration_shift,0.046933007850521014,0.03659387977662461,0.016248477735662653,0.9002246346371918,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,10,3,calibration_shift,causal_tcn,calibration_shift,0.025683527417722046,0.04016166438237406,0.019672133419049543,0.9144826747808543,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,11,4,calibration_shift,causal_tcn,calibration_shift,0.01112987189740024,0.00910873617295846,0.007154194193682491,0.9726071977359589,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,12,5,calibration_shift,causal_tcn,calibration_shift,0.003700811328145673,0.0023693075765697765,0.0032529953084395893,0.9906768857868449,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,13,6,calibration_shift,causal_tcn,calibration_shift,0.010062402250893533,0.007655817546981244,0.007683053560994726,0.9745987266411305,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,14,7,calibration_shift,causal_tcn,calibration_shift,0.005270155129374628,0.018397291370024438,0.015124140220363068,0.9612084132802379,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,15,8,calibration_shift,causal_tcn,calibration_shift,0.024795742177574583,0.0341147232857389,0.017167328844471016,0.9239222056922155,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,16,9,calibration_shift,causal_tcn,calibration_shift,0.0056947389583651056,0.0042925285137422,0.004359831823383198,0.9856529007045095,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,17,10,calibration_shift,causal_tcn,calibration_shift,0.019819354342400577,0.21750954419590104,0.054213913729534866,0.7084571877321635,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,18,11,calibration_shift,causal_tcn,burst,0.011233484511809758,0.7669041504023583,0.04554017935775099,0.17632218572808103,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,19,12,calibration_shift,causal_tcn,calibration_shift,0.013302813204102178,0.12677770660057044,0.02040797336636718,0.8395115068289601,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,20,13,calibration_shift,causal_tcn,calibration_shift,0.004809315353844122,0.014856014373969486,0.0051261338161659445,0.9752085364560206,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
20261231,21,14,calibration_shift,causal_tcn,calibration_shift,0.0010386542373009813,0.00283271157671897,0.0019841400276663585,0.9941444941583136,b58c88b60c0ce97e38eff92b387278588ce1759527fa171b40be4c938e3573ea,8a25fbdfce969dfa60f15cfac897bda702b8e4a31d5c191125e0ea2fc2b5216c
